№;Title;Body_note;Date_time
1;Шофёр;Шофёр закурил и нагнулся над бензобаком, посмотреть много ли осталось бензина. Покойнику было двадцать три года.;2023-10-07 12:51:22
2;Ведро и лопата;С солнцем в конце марта маму посоветовали спустить с чердаков чемоданы с летней одеждой. Он достал футболки, кепки, шорты, сандалии... и, схватившись за ведро и лопату, он также вытащил моего младшего брата Хайме, который забыл нас. Весь апрель и весь май шёл дождь.;2023-10-07 03:46:29
3;Комендантский час;Останься, - сказал я ему. И прикоснулся к ней.;2023-10-07 03:42:09
4;Письмо;Каждое утро я прихожу в офис, сажусь, включаю лампу, открываю портфель и, прежде чем приступить к повседневной работе, пишу строчку в длинном письме, где за четырнадцать лет подробно объяснял причины своего самоубийства.;2023-10-07 13:00:03
5;Качество и количество;Он влючился не в неё, а в её тень. Он собирался навестить её на рассвете, когда его любимая была дольше всех.;2023-10-07 03:44:48
6;Динозавр;Когда он проснулся, динозавр был всё ещё там.;2023-10-07 03:45:20
7;Лицо и юбка;Раньше у меня была гладкое лицо и мятая юбка, а теперь наоборот.;2023-10-07 12:18:15
8;Королева;О боже, воскликнула королева, я беременна и не знаю от кого.;2023-10-07 15:25:27
9;Последний человек;Последний человек на земле сидел в комнате. В дверь постучались.;2023-10-07 12:52:19
10;Прыжок;Я спрыгнул, а затем передумал.;2023-10-07 14:33:30
11;Земля;Человек ещё подавалсигналы. Земли нет.;2023-10-07 14:42:11
12;Голос;Вы ошиблись номером, ответил знакомый голос.;2023-10-07 15:26:58
13;Ботинки;Извини, солдат, мы продаём ботинки парами.;2023-10-07 15:00:25
14;Ботиночки;Продаются детские ботиночки. Не ношенные.;2023-10-07 15:12:35
